datasize,repetitions,total time,time/repetition,Mb/second,name of test,timestamp of testrun
0,1000,0.000000,0.000000,0.000000,test_Allreduce,2009-12-31 19-17-29
1,1000,8.018463,0.008018,0.000119,test_Allreduce,2009-12-31 19-17-29
2,1000,8.137115,0.008137,0.000234,test_Allreduce,2009-12-31 19-17-29
4,1000,8.223525,0.008224,0.000464,test_Allreduce,2009-12-31 19-17-29
8,1000,8.467165,0.008467,0.000901,test_Allreduce,2009-12-31 19-17-29
16,1000,8.722084,0.008722,0.001749,test_Allreduce,2009-12-31 19-17-29
32,1000,9.253006,0.009253,0.003298,test_Allreduce,2009-12-31 19-17-29
64,1000,10.299143,0.010299,0.005926,test_Allreduce,2009-12-31 19-17-29
128,1000,12.075200,0.012075,0.010109,test_Allreduce,2009-12-31 19-17-29
256,1000,15.311183,0.015311,0.015945,test_Allreduce,2009-12-31 19-17-29
512,1000,21.888329,0.021888,0.022308,test_Allreduce,2009-12-31 19-17-29
1024,1000,34.768559,0.034769,0.028088,test_Allreduce,2009-12-31 19-17-29
2048,1000,61.721354,0.061721,0.031644,test_Allreduce,2009-12-31 19-17-29
4096,1000,116.125571,0.116126,0.033638,test_Allreduce,2009-12-31 19-17-29
8192,1000,240.368845,0.240369,0.032502,test_Allreduce,2009-12-31 19-17-29
16384,1000,496.839850,0.496840,0.031449,test_Allreduce,2009-12-31 19-17-29
32768,1000,1024.928262,1.024928,0.030490,test_Allreduce,2009-12-31 19-17-29
65536,640,1350.257139,2.109777,0.029624,test_Allreduce,2009-12-31 19-17-29
131072,320,1297.747620,4.055461,0.030823,test_Allreduce,2009-12-31 19-17-29
262144,160,1220.978425,7.631115,0.032761,test_Allreduce,2009-12-31 19-17-29
524288,80,1199.414733,14.992684,0.033350,test_Allreduce,2009-12-31 19-17-29
1048576,40,1257.753537,31.443838,0.031803,test_Allreduce,2009-12-31 19-17-29
2097152,20,1244.362756,62.218138,0.032145,test_Allreduce,2009-12-31 19-17-29
4194304,10,1231.713794,123.171379,0.032475,test_Allreduce,2009-12-31 19-17-29

